,Date,Low,High,Close,Open
5031,2020-02-10,183.25,188.84,188.7,183.58
5030,2020-02-07,182.48,185.63,183.89,182.845
5029,2020-02-06,180.059,183.8199,183.63,180.97
5028,2020-02-05,178.4101,184.2,179.9,184.03
5027,2020-02-04,176.31,180.64,180.12,177.14
5026,2020-02-03,170.4,174.5,174.38,170.43
5025,2020-01-31,169.58,172.4,170.23,172.21
5024,2020-01-30,170.79,174.05,172.78,174.05
5023,2020-01-29,165.69,168.75,168.04,167.84
5022,2020-01-28,163.073,165.755,165.46,163.78
5021,2020-01-27,160.2,163.375,162.28,161.15
5020,2020-01-24,164.45,167.53,165.04,167.51
5019,2020-01-23,165.27,166.8,166.72,166.19
5018,2020-01-22,165.68,167.49,165.7,167.4
5017,2020-01-21,166.43,168.19,166.5,166.68
5016,2020-01-17,165.43,167.4675,167.1,167.42
5015,2020-01-16,164.03,166.24,166.17,164.35
5014,2020-01-15,162.57,163.94,163.18,162.62
5013,2020-01-14,161.72,163.6,162.13,163.39
5012,2020-01-13,161.26,163.31,163.28,161.76
5011,2020-01-10,161.18,163.22,161.34,162.8235
5010,2020-01-09,161.03,162.215,162.09,161.835
5009,2020-01-08,157.9491,160.8,160.09,158.93
5008,2020-01-07,157.32,159.67,157.58,159.32
5007,2020-01-06,156.51,159.1,159.03,157.08
5006,2020-01-03,158.06,159.945,158.62,158.32
5005,2020-01-02,158.33,160.73,160.62,158.78
5004,2019-12-31,156.45,157.77,157.7,156.77
5003,2019-12-30,156.73,159.02,157.59,158.9865
5002,2019-12-27,158.22,159.55,158.96,159.45
5001,2019-12-26,157.4,158.73,158.67,157.5511
5000,2019-12-24,157.115,157.71,157.38,157.48
4999,2019-12-23,157.27,158.12,157.41,158.12
4998,2019-12-20,156.29,158.49,157.41,157.35
4997,2019-12-19,153.75,155.77,155.71,154.0
4996,2019-12-18,154.18,155.48,154.37,154.3
4995,2019-12-17,154.45,155.71,154.69,155.45
4994,2019-12-16,154.82,155.9,155.53,155.11
4993,2019-12-13,152.83,154.89,154.53,153.1106
4992,2019-12-12,151.02,153.44,153.24,151.65
4991,2019-12-11,150.33,151.87,151.7,151.54
4990,2019-12-10,150.765,151.89,151.13,151.29
4989,2019-12-09,150.91,152.21,151.36,151.07
4988,2019-12-06,150.27,151.87,151.75,150.99
4987,2019-12-05,149.48,150.32,149.93,150.05
4986,2019-12-04,149.2,150.1799,149.85,150.14
4985,2019-12-03,146.65,149.43,149.31,147.49
4984,2019-12-02,148.32,151.83,149.55,151.81
4983,2019-11-29,151.28,152.3,151.38,152.1
4982,2019-11-27,151.52,152.5,152.32,152.33
4981,2019-11-26,151.32,152.42,152.03,151.36
4980,2019-11-25,149.92,151.35,151.23,150.0
4979,2019-11-22,148.82,150.3,149.59,150.07
4978,2019-11-21,148.501,149.8,149.48,149.4
4977,2019-11-20,148.46,150.84,149.62,150.31
4976,2019-11-19,150.195,151.33,150.39,150.88
4975,2019-11-18,148.98,150.55,150.34,150.07
4974,2019-11-15,148.27,149.99,149.97,148.93
4973,2019-11-14,147.0,148.41,148.06,147.02
4972,2019-11-13,146.28,147.4625,147.31,146.74
4971,2019-11-12,146.06,147.57,147.07,146.28
4970,2019-11-11,144.73,146.42,146.11,145.34
4969,2019-11-08,143.76,145.99,145.96,143.98
4968,2019-11-07,143.77,144.88,144.26,143.84
4967,2019-11-06,143.2,144.52,144.06,144.37
4966,2019-11-05,143.905,145.02,144.46,144.97
4965,2019-11-04,144.16,145.0,144.55,144.83
4964,2019-11-01,142.965,144.42,143.72,144.26
4963,2019-10-31,142.99,144.93,143.37,144.9
4962,2019-10-30,142.79,145.0,144.61,143.52
4961,2019-10-29,142.65,144.5,142.83,144.08
4960,2019-10-28,143.51,145.67,144.19,144.4
4959,2019-10-25,139.2,141.14,140.73,139.34
4958,2019-10-24,138.67,140.42,139.94,139.39
4957,2019-10-23,135.61,137.45,137.24,136.88
4956,2019-10-22,136.26,140.01,136.37,138.97
4955,2019-10-21,137.01,138.5,138.43,138.45
4954,2019-10-18,136.56,140.0,137.41,139.76
4953,2019-10-17,139.02,141.42,139.69,140.95
4952,2019-10-16,139.53,140.99,140.41,140.79
4951,2019-10-15,139.81,141.79,141.575,140.06
4950,2019-10-14,139.52,140.29,139.55,139.69
4949,2019-10-11,139.5,141.03,139.68,140.12
4948,2019-10-10,138.25,139.6699,139.1,138.49
4947,2019-10-09,136.97,138.7,138.24,137.46
4946,2019-10-08,135.62,137.76,135.67,137.08
4945,2019-10-07,137.02,138.18,137.12,137.14
4944,2019-10-04,136.42,138.25,138.12,136.75
4943,2019-10-03,133.22,136.75,136.28,134.95
4942,2019-10-02,133.5799,136.37,134.65,136.25
4941,2019-10-01,137.0,140.25,137.07,139.66
4940,2019-09-30,137.78,139.215,139.03,138.05
4939,2019-09-27,136.645,140.36,137.73,140.15
4938,2019-09-26,138.44,140.18,139.54,139.44
4937,2019-09-25,136.03,139.958,139.36,137.5
4936,2019-09-24,136.88,140.69,137.38,140.36
4935,2019-09-23,138.44,139.63,139.14,139.23
4934,2019-09-20,138.25,141.65,139.44,141.01
4933,2019-09-19,140.0736,142.37,141.07,140.3
4932,2019-09-18,136.5299,138.67,138.52,137.36
4931,2019-09-17,136.425,137.52,137.39,136.96
4930,2019-09-16,135.66,136.7,136.33,135.83
4929,2019-09-13,136.57,138.06,137.32,137.78
4928,2019-09-12,136.87,138.42,137.52,137.85
4927,2019-09-11,135.09,136.27,136.12,135.91
4926,2019-09-10,134.51,136.8862,136.08,136.8
4925,2019-09-09,136.46,139.75,137.52,139.59
4924,2019-09-06,138.2,140.18,139.1,140.03
4923,2019-09-05,138.76,140.3837,140.05,139.11
4922,2019-09-04,136.48,137.69,137.63,137.3
4921,2019-09-03,135.7,137.2,136.04,136.61
4920,2019-08-30,136.27,139.18,137.86,139.15
4919,2019-08-29,136.91,138.44,138.12,137.25
4918,2019-08-28,133.55,135.76,135.56,134.88
4917,2019-08-27,134.66,136.72,135.74,136.39
4916,2019-08-26,133.9,135.56,135.45,134.99
4915,2019-08-23,132.8,138.35,133.39,137.1897
4914,2019-08-22,136.29,139.2,137.78,138.66
4913,2019-08-21,138.0,139.4935,138.79,138.55
4912,2019-08-20,137.24,138.71,137.26,138.21
4911,2019-08-19,136.885,138.55,138.41,137.855
4910,2019-08-16,134.72,136.46,136.13,134.88
4909,2019-08-15,132.25,134.58,133.68,134.39
4908,2019-08-14,133.67,136.92,133.98,136.36
4907,2019-08-13,135.0,138.8,138.6,136.05
4906,2019-08-12,135.24,137.86,135.79,137.07
4905,2019-08-09,136.46,139.38,137.71,138.61
4904,2019-08-08,135.93,138.99,138.89,136.6
4903,2019-08-07,131.8284,135.65,135.28,133.79
4902,2019-08-06,133.21,135.68,134.69,133.8
4901,2019-08-05,130.78,133.9298,132.21,133.3
4900,2019-08-02,135.26,138.32,136.9,138.09
4899,2019-08-01,136.93,140.9383,138.06,137.0
4898,2019-07-31,135.08,140.49,136.27,140.33
4897,2019-07-30,139.8005,141.2199,140.35,140.14
4896,2019-07-29,139.3663,141.51,141.03,141.5
4895,2019-07-26,140.3,141.675,141.34,140.37
4894,2019-07-25,139.3215,140.61,140.19,140.43
4893,2019-07-24,138.85,140.74,140.72,138.9
4892,2019-07-23,138.03,139.99,139.29,139.76
4891,2019-07-22,137.33,139.19,138.43,137.41
4890,2019-07-19,136.45,140.67,136.62,140.22
4889,2019-07-18,134.67,136.62,136.42,135.55
4888,2019-07-17,136.22,137.93,136.27,137.7
4887,2019-07-16,136.52,139.05,137.08,138.96
4886,2019-07-15,138.46,139.54,138.9,139.44
4885,2019-07-12,138.0099,139.13,138.9,138.85
4884,2019-07-11,137.87,139.22,138.4,138.2
4883,2019-07-10,137.02,138.58,137.85,137.13
4882,2019-07-09,135.8,136.97,136.46,136.0
4881,2019-07-08,135.3701,137.1,136.96,136.4
4880,2019-07-05,135.72,137.33,137.06,135.94
4879,2019-07-03,136.295,137.74,137.46,136.8
4878,2019-07-02,135.34,136.59,136.58,136.12
4877,2019-07-01,134.97,136.7,135.68,136.63
4876,2019-06-28,133.1558,134.6,133.96,134.57
4875,2019-06-27,133.51,134.71,134.15,134.14
4874,2019-06-26,133.6,135.74,133.93,134.35
4873,2019-06-25,132.73,137.59,133.43,137.25
4872,2019-06-24,137.0,138.4,137.78,137.0
4871,2019-06-21,136.46,137.73,136.97,136.58
4870,2019-06-20,135.72,137.66,136.95,137.45
4869,2019-06-19,133.81,135.93,135.69,135.0
4868,2019-06-18,133.57,135.24,135.16,134.19
4867,2019-06-17,132.53,133.73,132.85,132.63
4866,2019-06-14,131.64,133.79,132.45,132.26
4865,2019-06-13,131.56,132.67,132.32,131.98
4864,2019-06-12,130.71,131.97,131.49,131.4
4863,2019-06-11,131.2757,134.24,132.1,133.88
4862,2019-06-10,132.0,134.08,132.6,132.4
4861,2019-06-07,128.26,132.25,131.4,129.19
4860,2019-06-06,125.6,127.97,127.82,126.44
4859,2019-06-05,124.21,125.87,125.83,124.95
4858,2019-06-04,120.6522,123.28,123.16,121.28
4857,2019-06-03,119.01,124.37,119.84,123.85
4856,2019-05-31,123.32,124.615,123.68,124.23
4855,2019-05-30,124.78,125.76,125.73,125.26
4854,2019-05-29,124.04,125.39,124.94,125.38
4853,2019-05-28,126.05,128.0,126.16,126.98
4852,2019-05-24,125.97,127.415,126.24,126.91
4851,2019-05-23,124.74,126.29,126.18,126.2
4850,2019-05-22,126.52,128.24,127.67,126.62
4849,2019-05-21,126.58,127.5273,126.9,127.43
4848,2019-05-20,125.7607,127.5894,126.22,126.52
4847,2019-05-17,127.92,130.46,128.07,128.305
4846,2019-05-16,126.46,129.38,128.93,126.75
4845,2019-05-15,123.7,126.71,126.02,124.26
4844,2019-05-14,123.7,125.88,124.73,123.87
4843,2019-05-13,123.04,125.55,123.35,124.11
4842,2019-05-10,123.82,127.93,127.13,124.91
4841,2019-05-09,123.57,125.79,125.5,124.29
4840,2019-05-08,124.75,126.37,125.51,125.44
4839,2019-05-07,124.22,127.18,125.52,126.46
4838,2019-05-06,126.11,128.56,128.15,126.39
4837,2019-05-03,127.25,129.43,128.9,127.36
4836,2019-05-02,125.52,128.0,126.21,127.98
4835,2019-05-01,127.7,130.65,127.88,130.53
4834,2019-04-30,129.3947,130.7,130.6,129.81
4833,2019-04-29,129.35,130.18,129.77,129.9
4832,2019-04-26,129.02,130.5152,129.89,129.7
4831,2019-04-25,128.83,131.37,129.15,130.06
4830,2019-04-24,124.52,125.85,125.01,125.79
4829,2019-04-23,123.83,125.58,125.44,124.1
4828,2019-04-22,122.57,124.0,123.76,122.62
4827,2019-04-18,121.3018,123.52,123.37,122.19
4826,2019-04-17,120.54,121.85,121.77,121.24
4825,2019-04-16,120.1,121.65,120.77,121.64
4824,2019-04-15,120.57,121.58,121.05,120.94
4823,2019-04-12,120.37,120.98,120.95,120.64
4822,2019-04-11,119.92,120.85,120.33,120.54
4821,2019-04-10,119.54,120.35,120.19,119.76
4820,2019-04-09,118.58,119.54,119.28,118.63
4819,2019-04-08,118.64,120.02,119.93,119.81
4818,2019-04-05,119.37,120.23,119.89,119.39
4817,2019-04-04,118.38,120.23,119.36,120.1
4816,2019-04-03,119.15,120.43,119.97,119.86
4815,2019-04-02,118.52,119.48,119.19,119.06
4814,2019-04-01,118.1,119.1085,119.02,118.95
4813,2019-03-29,116.96,118.32,117.94,118.07
4812,2019-03-28,116.13,117.58,116.93,117.44
4811,2019-03-27,115.5215,118.21,116.77,117.875
4810,2019-03-26,116.85,118.705,117.91,118.62
4809,2019-03-25,116.3224,118.01,117.66,116.56
4808,2019-03-22,117.04,119.59,117.05,119.5
4807,2019-03-21,117.09,120.82,120.22,117.135
4806,2019-03-20,116.71,118.75,117.52,117.39
4805,2019-03-19,116.99,118.44,117.65,118.09
4804,2019-03-18,116.05,117.61,117.57,116.17
4803,2019-03-15,114.59,117.25,115.91,115.34
4802,2019-03-14,114.33,115.2,114.59,114.54
4801,2019-03-13,113.78,115.0,114.5,114.13
4800,2019-03-12,112.6499,113.99,113.62,112.82
4799,2019-03-11,110.98,112.95,112.83,110.99
4798,2019-03-08,108.8,110.71,110.51,109.16
4797,2019-03-07,109.865,111.55,110.39,111.4
4796,2019-03-06,111.43,112.66,111.75,111.87
4795,2019-03-05,111.23,112.39,111.7,112.25
4794,2019-03-04,110.8,113.25,112.26,113.02
4793,2019-03-01,111.665,113.02,112.53,112.89
4792,2019-02-28,111.73,112.88,112.03,112.04
4791,2019-02-27,110.88,112.36,112.17,111.69
4790,2019-02-26,111.17,113.24,112.36,111.26
4789,2019-02-25,111.26,112.18,111.59,111.76
4788,2019-02-22,109.82,111.2,110.97,110.05
4787,2019-02-21,106.87,109.48,109.41,106.9
4786,2019-02-20,106.29,107.94,107.15,107.86
4785,2019-02-19,107.78,108.66,108.17,107.79
4784,2019-02-15,107.3624,108.3,108.22,107.91
4783,2019-02-14,105.66,107.29,106.9,106.31
4782,2019-02-13,106.71,107.78,106.81,107.5
4781,2019-02-12,105.48,107.14,106.89,106.14
4780,2019-02-11,104.965,106.58,105.25,106.2
4779,2019-02-08,104.2603,105.78,105.67,104.39
4778,2019-02-07,104.29,105.59,105.27,105.185
4777,2019-02-06,105.53,107.0,106.03,107.0
4776,2019-02-05,105.96,107.27,107.22,106.06
4775,2019-02-04,102.77,105.8,105.74,102.87
4774,2019-02-01,102.35,104.0999,102.78,103.775
4773,2019-01-31,103.18,105.22,104.43,103.8
4772,2019-01-30,104.33,106.38,106.38,104.62
4771,2019-01-29,102.17,104.97,102.94,104.88
4770,2019-01-28,104.66,106.48,105.08,106.26
4769,2019-01-25,106.59,107.88,107.17,107.24
4768,2019-01-24,105.34,107.0,106.2,106.86
4767,2019-01-23,105.34,107.04,106.71,106.12
4766,2019-01-22,104.86,107.1,105.68,106.75
4765,2019-01-18,105.91,107.9,107.71,107.46
4764,2019-01-17,104.76,106.625,106.12,105.0
4763,2019-01-16,104.96,106.255,105.38,105.26
4762,2019-01-15,101.88,105.05,105.01,102.51
4761,2019-01-14,101.26,102.8716,102.05,101.9
4760,2019-01-11,101.64,103.44,102.8,103.19
4759,2019-01-10,102.38,103.75,103.6,103.22
4758,2019-01-09,103.2445,104.88,104.27,103.86
4757,2019-01-08,101.7134,103.97,102.8,103.04
4756,2019-01-07,100.98,103.2681,102.06,101.64
4755,2019-01-04,98.93,102.51,101.93,99.72
4754,2019-01-03,97.2,100.185,97.4,100.1
4753,2019-01-02,98.94,101.75,101.12,99.55
4752,2018-12-31,100.44,102.4,101.57,101.29
4751,2018-12-28,99.52,102.41,100.39,102.09
4750,2018-12-27,96.4,101.19,101.18,99.3
4749,2018-12-26,93.96,100.69,100.56,95.14
4748,2018-12-24,93.98,97.97,94.13,97.68
4747,2018-12-21,97.46,103.0,98.23,101.63
4746,2018-12-20,98.78,104.31,101.51,103.05
4745,2018-12-19,101.35,106.88,103.69,103.65
4744,2018-12-18,102.52,104.51,103.97,103.75
4743,2018-12-17,101.71,105.8,102.89,105.41
4742,2018-12-14,105.5,109.26,106.03,108.25
4741,2018-12-13,108.63,110.87,109.45,109.58
4740,2018-12-12,109.04,111.27,109.08,110.89
4739,2018-12-11,107.44,110.95,108.59,109.8
4738,2018-12-10,103.89,107.98,107.59,104.8
4737,2018-12-07,104.3,109.45,104.82,108.38
4736,2018-12-06,105.0,109.24,109.19,105.82
4735,2018-12-04,108.2115,112.6373,108.52,111.94
4734,2018-12-03,110.73,113.42,112.09,113.0
4733,2018-11-30,109.36,110.97,110.89,110.7
4732,2018-11-29,109.03,111.115,110.19,110.33
4731,2018-11-28,107.86,111.33,111.12,107.89
4730,2018-11-27,105.36,107.33,107.14,106.27
4729,2018-11-26,104.58,106.63,106.47,104.79
4728,2018-11-23,102.0,103.8099,103.07,102.17
4727,2018-11-21,102.24,104.43,103.11,103.6
4726,2018-11-20,99.3528,102.97,101.71,101.8
4725,2018-11-19,103.55,108.56,104.62,108.27
4724,2018-11-16,106.8,108.88,108.29,107.08
4723,2018-11-15,103.91,107.8,107.28,104.99
4722,2018-11-14,104.47,108.26,104.97,108.1
4721,2018-11-13,106.64,108.74,106.94,107.55
4720,2018-11-12,106.1,109.96,106.87,109.42
4719,2018-11-09,108.76,111.45,109.57,110.85
4718,2018-11-08,110.91,112.21,111.75,111.8
4717,2018-11-07,109.4,112.24,111.96,109.44
4716,2018-11-06,106.28,108.84,107.72,107.38
4715,2018-11-05,105.9,107.74,107.51,106.37
4714,2018-11-02,104.975,107.32,106.16,106.48
4713,2018-11-01,105.53,107.32,105.92,107.05
4712,2018-10-31,105.39,108.14,106.81,105.435
4711,2018-10-30,100.11,104.38,103.73,103.66
4710,2018-10-29,101.63,108.7,103.85,108.105
4709,2018-10-26,104.76,108.75,106.96,105.69
4708,2018-10-25,106.15,109.27,108.3,106.55
4707,2018-10-24,101.5901,108.49,102.32,108.41
4706,2018-10-23,105.11,108.97,108.1,107.77
4705,2018-10-22,108.24,110.54,109.63,109.32
4704,2018-10-19,108.21,110.86,108.66,108.93
4703,2018-10-18,107.83,110.53,108.5,110.1
4702,2018-10-17,109.5482,111.81,110.71,111.68
4701,2018-10-16,108.95,111.41,111.0,109.54
4700,2018-10-15,106.9468,109.48,107.6,108.91
4699,2018-10-12,107.12,111.24,109.57,109.01
4698,2018-10-11,104.2,108.93,105.91,105.35
4697,2018-10-10,105.79,111.5,106.16,111.24
4696,2018-10-09,110.8,113.08,112.26,111.14
4695,2018-10-08,109.34,112.03,110.85,111.66
4694,2018-10-05,110.64,113.17,112.13,112.63
4693,2018-10-04,111.63,114.7588,112.79,114.61
4692,2018-10-03,114.93,116.18,115.17,115.42
4691,2018-10-02,114.44,115.84,115.15,115.3
4690,2018-10-01,114.73,115.68,115.61,114.75
4689,2018-09-28,113.68,114.57,114.37,114.19
4688,2018-09-27,114.2,114.91,114.41,114.78
4687,2018-09-26,113.74,115.055,113.98,114.47
